THP,I,P
323.15,0.30306670545923936,-748.9754301992441
323.15,0.30925174026452995,-782.8021587418452
323.15,0.31543677506982054,-817.3705479117024
323.15,0.32162180987511113,-852.680597708815
323.15,0.3278068446804017,-888.7323081331833
323.15,0.3339918794856923,-925.5256791848074
323.15,0.34017691429098296,-963.0607108636873
323.15,0.34636194909627355,-1001.3374031698228
323.15,0.35254698390156414,-1040.355756103214
323.15,0.3587320187068547,-1080.1157696638606
323.15,0.3649170535121453,-1120.617443851763
323.15,0.3711020883174359,-1161.860778666921
323.15,0.37728712312272655,-1203.8457741093353
323.15,0.38347215792801714,-1246.5724301790049
323.15,0.38965719273330773,-1290.0407468759302
323.15,0.3958422275385983,-1334.2507242001109
323.15,0.4020272623438889,-1379.2023621515475
323.15,0.4082122971491795,-1424.8956607302398
323.15,0.4143973319544701,-1471.330619936188
323.15,0.42058236675976074,-1518.5072397693916
323.15,0.42676740156505133,-1566.4255202298511
323.15,0.4329524363703419,-1615.0854613175661
323.15,0.4391374711756325,-1664.487063032537
323.15,0.4453225059809231,-1714.6303253747633
323.15,0.4515075407862137,-1765.5152483442457
323.15,0.45769257559150434,-1817.141831940984
323.15,0.4638776103967949,-1869.5100761649776
323.15,0.4700626452020855,-1922.6199810162268
323.15,0.4762476800073761,-1976.471546494731
323.15,0.4824327148126667,-2031.0647726004918
323.15,0.4886177496179573,-2086.3996593335078
323.15,0.4948027844232479,-2142.4762066937797
323.15,0.5009878192285385,-2199.294414681308
323.15,0.5071728540338291,-2256.8542832960907
323.15,0.5133578888391197,-2315.1558125381302
323.15,0.5195429236444103,-2374.1990024074253
323.15,0.5257279584497009,-2433.9838529039757
323.15,0.5319129932549915,-2494.510364027782
323.15,0.5380980280602821,-2555.7785357788434
323.15,0.5442830628655727,-2617.788368157161
323.15,0.5504680976708632,-2680.539861162734
323.15,0.5566531324761539,-2744.0330147955633
323.15,0.5628381672814445,-2808.2678290556482
323.15,0.5690232020867351,-2873.2443039429877
323.15,0.5752082368920257,-2938.9624394575844
323.15,0.5813932716973162,-3005.422235599435
323.15,0.5875783065026069,-3072.6236923685433
323.15,0.5937633413078975,-3140.566809764907
323.15,0.5999483761131881,-3209.251587788525
323.15,0.6061334109184787,-3278.678026439399
323.15,0.6123184457237693,-3348.846125717529
373.15,0.0,0.0
373.15,0.006185034805290599,7.719858875523905
373.15,0.012370069610581198,14.693915313007228
373.15,0.018555104415871798,20.92216931244998
373.15,0.024740139221162395,26.40462087385215
373.15,0.030925174026452992,31.141269997213733
373.15,0.037110208831743596,35.13211668253475
373.15,0.04329524363703419,38.377160929815176
373.15,0.04948027844232479,40.87640273905503
373.15,0.05566531324761539,42.62984211025431
373.15,0.061850348052905985,43.637479043413
373.15,0.06803538285819659,43.89931353853112
373.15,0.07422041766348719,43.415345595608656
373.15,0.08040545246877778,42.18557521464561
373.15,0.08659048727406839,40.21000239564199
373.15,0.09277552207935898,37.4886271385978
373.15,0.09896055688464958,34.02144944351302
373.15,0.10514559168994018,29.80846931038767
373.15,0.11133062649523078,24.84968673922174
373.15,0.11751566130052138,19.145101730015213
373.15,0.12370069610581197,12.694714282768128
373.15,0.1298857309111026,5.4985243974804385
373.15,0.13607076571639318,-2.4434679258478034
373.15,0.14225580052168377,-11.131262687216621
373.15,0.14844083532697439,-20.564859886626053
373.15,0.15462587013226498,-30.744259524076025
373.15,0.16081090493755557,-41.66946159956658
373.15,0.16699593974284616,-53.34046611309771
373.15,0.17318097454813677,-65.75727306466946
373.15,0.17936600935342736,-78.91988245428175
373.15,0.18555104415871795,-92.8282942819346
373.15,0.19173607896400857,-107.4825085476281
373.15,0.19792111376929916,-122.88252525136213
373.15,0.20410614857458975,-139.02834439313673
373.15,0.21029118337988037,-155.91996597295193
373.15,0.21647621818517096,-173.55738999080768
373.15,0.22266125299046155,-191.94061644670398
373.15,0.22884628779575217,-211.06964534064105
373.15,0.23503132260104276,-230.94447667261852
373.15,0.24121635740633335,-251.56511044263658
373.15,0.24740139221162394,-272.9315466506952
373.15,0.25358642701691453,-295.04378529679445
373.15,0.2597714618222052,-317.90182638093444
373.15,0.26595649662749576,-341.5056699031148
373.15,0.27214153143278635,-365.85531586333576
373.15,0.27832656623807694,-390.9507642615973
373.15,0.28451160104336753,-416.7920150978994
373.15,0.2906966358486581,-443.3790683722421
373.15,0.29688167065394877,-470.7119240846256
373.15,0.30306670545923936,-498.7905822350494
373.15,0.30925174026452995,-527.6150428235138
373.15,0.31543677506982054,-557.1853058500188
373.15,0.32162180987511113,-587.5013713145644
373.15,0.3278068446804017,-618.5632392171506
373.15,0.3339918794856923,-650.3709095577773
