THP,I,P
373.15,0.4734187692946111,-940.6453113231753
373.15,0.48187267588915766,-985.7997888820206
373.15,0.4903265824837043,-1031.949257313029
373.15,0.49878048907825095,-1079.093716616201
373.15,0.5072343956727976,-1127.233166791536
373.15,0.5156883022673442,-1176.3676078390333
373.15,0.5241422088618908,-1226.4970397586937
373.15,0.5325961154564375,-1277.6214625505177
373.15,0.5410500220509841,-1329.7408762145042
373.15,0.5495039286455307,-1382.8552807506535
373.15,0.5579578352400774,-1436.9646761589674
373.15,0.566411741834624,-1492.0690624394426
373.15,0.5748656484291705,-1548.1684395920813
373.15,0.5833195550237172,-1605.2628076168837
373.15,0.5917734616182638,-1663.352166513848
373.15,0.6002273682128104,-1722.4365162829758
373.15,0.6086812748073571,-1782.5158569242674
373.15,0.6171351814019037,-1843.5901884377208
373.15,0.6255890879964503,-1905.6595108233375
373.15,0.634042994590997,-1968.723824081118
373.15,0.6424969011855436,-2032.7831282110606
373.15,0.6509508077800902,-2097.8374232131664
373.15,0.6594047143746369,-2163.886709087436
373.15,0.6678586209691835,-2230.930985833868
373.15,0.6763125275637301,-2298.9702534524627
373.15,0.6847664341582768,-2368.004511943221
373.15,0.6932203407528233,-2438.033761306142
373.15,0.7016742473473699,-2509.058001541225
373.15,0.7101281539419166,-2581.077232648473
373.15,0.7185820605364632,-2654.0914546278836
373.15,0.7270359671310098,-2728.100667479456
373.15,0.7354898737255565,-2803.104871203193
373.15,0.7439437803201031,-2879.104065799092
373.15,0.7523976869146497,-2956.098251267153
373.15,0.7608515935091964,-3034.087427607379
373.15,0.769305500103743,-3113.0715948197676
373.15,0.7777594066982896,-3193.0507529043184
373.15,0.7862133132928363,-3274.0249018610334
373.15,0.7946672198873829,-3355.9940416899103
373.15,0.8031211264819295,-3438.95817239095
373.15,0.8115750330764762,-3522.9172939641544
373.15,0.8200289396710227,-3607.87140640952
373.15,0.8284828462655693,-3693.8205097270497
373.15,0.8369367528601159,-3780.7646039167416
423.15,0.0,0.0
423.15,0.008453906594546626,18.622284175281784
423.15,0.016907813189093252,36.24239465077626
423.15,0.02536171978363988,52.86033142648343
423.15,0.033815626378186504,68.47609450240328
423.15,0.04226953297273313,83.08968387853582
423.15,0.05072343956727976,96.70109955488105
423.15,0.059177346161826384,109.31034153143898
423.15,0.06763125275637301,120.9174098082096
423.15,0.07608515935091964,131.5223043851929
423.15,0.08453906594546626,141.1250252623889
423.15,0.09299297254001289,149.72557243979756
423.15,0.10144687913455952,157.3239459174189
